Alameda,Berkeley,2015,36,70,51,53,44.7,63.3,54,0,NULL,0,NULL
Alameda,Berkeley,2014,40,76,54,56,45.6,67,56.3,0.1,NULL,0.08,NULL
Alameda,Berkeley,2013,32,67,49,50,40.3,58.7,49.5,0.59,NULL,0.38,NULL
Alameda,Berkeley,2012,33,69,51,53,43,61.6,52.3,3.38,NULL,1.91,NULL
Alameda,Berkeley,2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alameda,Berkeley,2010,39,64,50,48,44.6,57.7,51.2,7.66,0,1.79,0
Alameda,Berkeley,2009,36,77,62,48,44.7,62.8,53.7,0.91,0,0.41,0
Alameda,Berkeley,2008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alameda,Berkeley,2007,29,68,47,48,38.9,58.9,48.9,1,0,0.31,0
Alameda,Berkeley,2006,38,66,49,52,43.4,57.8,50.6,4.03,0,0.69,0
Alameda,Berkeley,2005,38,60,51,47,41.4,54.5,47.9,4.33,0,0.9,0
Alameda,Berkeley,2004,33,61,50,48,42.3,55.3,48.8,3.4,0,2.09,0
Alameda,Berkeley,2003,38,65,51,52,45.5,60.5,53,4.41,0,2.36,0
Alameda,Berkeley,2002,32,62,53,47,40.8,54.6,47.7,2.03,0,1.03,0
Alameda,Berkeley,2001,36,64,45,48,40.7,56.2,48.5,3.86,0,1.04,0
Alameda,Berkeley,2000,40,62,53,50,45.5,56.8,51.2,7.98,0,3.05,0
Alameda,Berkeley,1999,32,63,52,48,41.1,55.1,48.1,4.86,0,1.18,0
Alameda,Berkeley,1998,38,63,55,49,46.1,56.3,51.2,10.63,0,1.88,0
Alameda,Berkeley,1997,31,64,61,48,45.5,56.9,51.2,9.54,0,2.78,0
Alameda,Berkeley,1996,40,67,53,49,46.1,56.7,51.4,6.74,0,1.55,0
Alameda,Berkeley,1995,41,64,55,51,49.5,56.9,53.2,10.37,0,1.71,0
